age,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,admin,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown
40,1,2,0,1,0,0,3,2,134,1,999,0,0,1.4,94.465,-41.8,4.958,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
32,1,7,0,0,1,0,0,4,92,5,999,0,0,-1.8,92.843,-50,1.778,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
40,2,5,0,0,0,0,2,3,64,1,999,0,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,0,0,0,0,0,0,0,0
50,1,6,0,0,0,1,8,1,408,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0,0,1,0,0,0,0,0,0,0,0,0
54,1,2,0,1,1,0,4,3,533,3,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,0,0,0,0,1,0,0,0,0,0,0
25,1,0,0,0,0,0,3,4,490,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
50,1,6,0,1,0,1,5,1,699,4,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,1,0,0,0,0,0,0,0
27,1,4,0,0,0,0,2,4,392,1,999,0,0,1.1,93.994,-36.4,4.857,5191,0,1,0,0,0,0,0,0,0,0,0,0
40,1,4,0,1,0,0,3,3,168,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
55,0,6,0,0,0,0,2,1,286,1,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,1,0,0,0,0,0,0,0,0
31,2,2,0,0,0,0,3,0,110,3,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
56,1,4,0,0,0,1,4,0,282,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
33,2,5,0,1,0,1,2,2,17,5,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
30,2,6,0,1,0,1,8,0,222,2,999,0,0,-0.1,93.2,-42,4.021,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
53,1,5,0,0,0,0,3,3,138,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
32,2,5,0,0,1,1,2,4,358,2,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
38,1,2,0,0,0,1,2,2,102,3,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
38,2,6,0,0,0,1,8,2,69,4,999,0,0,-0.1,93.2,-42,4.076,5195.8,0,0,0,0,1,0,0,0,0,0,0,0
36,1,5,0,0,0,0,2,0,77,3,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,0,0,0,0,1,0,0,0,0
28,2,6,0,0,0,0,2,3,518,2,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,0,0,0,1,0,0,0,0,0
53,1,5,0,1,0,0,3,0,211,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,0,0,0,0,1,0,0,0,0,0,0
32,1,4,0,0,0,1,8,4,161,2,999,0,0,-0.1,93.2,-42,4.12,5195.8,0,1,0,0,0,0,0,0,0,0,0,0
48,1,7,0,1,0,1,2,4,274,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
43,0,3,0,1,0,0,5,4,813,2,999,0,0,-2.9,92.201,-31.4,0.884,5076.2,0,0,0,0,0,0,0,1,0,0,0,0
38,1,3,0,0,0,0,3,1,559,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
37,2,4,0,1,0,0,2,0,320,2,999,0,0,1.1,93.994,-36.4,4.859,5191,0,0,0,0,0,0,0,1,0,0,0,0
39,2,6,0,1,0,1,5,4,413,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
35,2,5,0,1,1,1,4,3,47,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
22,2,6,0,1,0,1,3,0,163,4,999,1,0,-2.9,92.963,-40.8,1.268,5076.2,0,0,0,0,0,0,0,0,0,1,0,0
53,1,2,0,0,1,0,8,4,513,1,3,1,1,-3.4,92.649,-30.1,0.715,5017.5,0,0,0,1,0,0,0,0,0,0,0,0
58,1,7,0,0,0,0,2,3,179,1,999,0,0,1.1,93.994,-36.4,4.856,5191,0,0,0,0,0,1,0,0,0,0,0,0
28,2,7,0,1,0,1,5,2,64,1,999,0,0,-2.9,92.201,-31.4,0.851,5076.2,0,0,0,0,0,0,0,0,0,1,0,0
32,0,7,0,0,0,0,2,2,242,1,999,0,0,1.1,93.994,-36.4,4.855,5191,0,0,0,0,0,0,1,0,0,0,0,0
28,1,5,0,0,1,1,4,3,378,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
45,1,0,0,0,0,0,3,4,46,16,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0,0,0,0,0,0,0,0
29,2,5,0,1,0,1,4,2,253,2,999,0,0,-2.9,92.469,-33.6,1.018,5076.2,0,0,0,0,0,0,0,0,1,0,0,0
45,1,3,0,0,0,0,3,3,171,4,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
27,1,6,0,0,0,0,2,0,530,2,999,0,0,1.1,93.994,-36.4,4.855,5191,0,0,1,0,0,0,0,0,0,0,0,0
34,1,6,0,1,1,1,8,4,147,1,999,0,0,-0.1,93.2,-42,4.12,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
37,1,5,0,1,0,1,2,4,285,2,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0,0,0,0,0,0,0,1,0,0,0,0
48,1,3,0,1,0,0,2,2,544,4,999,0,0,1.1,93.994,-36.4,4.86,5191,0,1,0,0,0,0,0,0,0,0,0,0
31,2,5,0,0,0,0,2,4,249,11,999,0,0,1.1,93.994,-36.4,4.857,5191,0,1,0,0,0,0,0,0,0,0,0,0
55,2,7,0,1,1,1,0,1,217,2,999,0,0,-1.8,92.843,-50,1.703,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
58,1,6,0,1,1,1,8,3,240,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0,0,0,0,1,0,0,0,0,0,0,0
34,0,4,0,0,1,1,2,1,295,3,999,0,0,-1.8,92.893,-46.2,1.299,5099.1,0,0,0,0,0,0,0,1,0,0,0,0
39,1,7,0,1,0,1,2,4,177,1,999,1,0,-1.8,92.893,-46.2,1.334,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
41,1,6,0,1,0,1,4,0,1044,3,999,0,0,1.4,93.918,-42.7,4.959,5228.1,0,0,0,0,1,0,0,0,0,0,0,0
59,0,6,0,1,0,1,5,1,272,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
37,1,3,0,1,0,1,5,0,148,2,999,0,0,-2.9,92.201,-31.4,0.869,5076.2,0,0,1,0,0,0,0,0,0,0,0,0
57,0,2,0,1,1,0,2,1,205,2,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,1,0,0,0,0,0,0,0,0
33,2,7,0,0,0,1,5,1,145,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
50,1,2,0,0,0,1,3,3,135,4,999,1,0,-1.7,94.055,-39.8,0.761,4991.6,0,1,0,0,0,0,0,0,0,0,0,0
52,1,6,0,0,0,1,2,2,613,1,3,2,1,-1.8,93.876,-40,0.677,5008.7,1,0,0,0,0,0,0,0,0,0,0,0
28,2,6,0,1,1,1,1,2,68,1,2,1,1,-1.8,93.075,-47.1,1.365,5099.1,1,0,0,0,0,0,0,0,0,0,0,0
26,1,7,0,1,0,0,2,1,346,2,999,0,0,1.1,93.994,-36.4,4.857,5191,0,1,0,0,0,0,0,0,0,0,0,0
52,0,5,0,0,0,0,2,1,579,5,999,0,0,1.1,93.994,-36.4,4.858,5191,0,0,0,0,0,0,0,1,0,0,0,0
37,2,6,0,1,1,1,5,2,71,4,999,0,0,1.4,93.444,-36.1,4.962,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
44,1,3,0,1,1,0,2,4,344,1,999,0,0,1.1,93.994,-36.4,4.856,5191,0,1,0,0,0,0,0,0,0,0,0,0
36,1,3,0,0,0,1,2,2,592,2,999,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
35,2,5,0,1,0,1,2,3,13,5,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,1,0,0,0,0,0,0,0,0,0,0,0
31,1,7,0,0,0,0,3,4,371,2,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
46,2,6,0,1,0,0,3,1,186,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
27,2,4,0,0,0,1,4,1,808,5,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
33,2,6,0,1,0,1,2,1,9,3,999,1,0,-1.8,92.893,-46.2,1.244,5099.1,0,0,1,0,0,0,0,0,0,0,0,0
46,1,5,0,0,0,1,5,3,205,5,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
52,1,2,0,1,0,1,5,1,197,2,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,1,0,0,0,0,0,0,0,0
44,1,2,0,0,0,1,8,2,62,1,999,0,0,-0.1,93.2,-42,4.076,5195.8,0,1,0,0,0,0,0,0,0,0,0,0
32,2,5,0,1,0,1,2,4,420,3,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
43,1,2,0,0,0,0,2,2,134,1,999,0,0,1.1,93.994,-36.4,4.855,5191,0,1,0,0,0,0,0,0,0,0,0,0
38,2,6,0,1,0,1,8,4,255,6,999,0,0,-0.1,93.2,-42,4.12,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
73,0,5,0,1,0,1,9,3,284,1,999,0,0,-3,92.713,-33,0.707,5023.5,0,0,0,0,0,1,0,0,0,0,0,0
31,1,7,0,1,0,1,5,4,90,1,999,0,0,1.4,93.444,-36.1,4.967,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
25,2,0,0,1,0,1,3,3,383,2,999,2,0,-1.7,94.055,-39.8,0.702,4991.6,0,0,0,0,0,0,0,1,0,0,0,0
39,1,5,0,0,0,0,2,4,278,1,999,0,0,1.1,93.994,-36.4,4.859,5191,0,1,0,0,0,0,0,0,0,0,0,0
38,1,7,0,0,0,0,2,4,127,2,999,0,0,1.1,93.994,-36.4,4.858,5191,0,0,0,0,0,0,0,0,0,1,0,0
37,1,3,0,0,1,0,2,0,297,2,999,0,0,1.1,93.994,-36.4,4.857,5191,0,1,0,0,0,0,0,0,0,0,0,0
42,1,3,0,0,0,0,3,1,298,4,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
35,1,7,0,1,0,1,1,0,86,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
43,1,5,0,0,0,1,4,2,126,19,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
25,1,5,0,0,0,1,2,2,112,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0,0,0,0,0,0,0,1,0,0,0,0
